User Name,Review Date,Rating,Review Body,Cleaned Review,Positivity Score
Pete,"Reviewed in the United States on February 14, 2025",5.0 out of 5 stars,"I really enjoyed this book and found it hard to put down. The book tells the story of Melania's life along with how she met Donald and her experiences as First Lady. I knew very little about Melania other than what is portrayed in the news and I found this book to give a good understanding of Melania, how she grew up and her life both in the White House and outside of it. I would recommend this book to anyone.",i really enjoyed this book and found it hard to put down the book tells the story of melania s life along with how she met donald and her experiences as first lady i knew very little about melania other than what is portrayed in the news and i found this book to give a good understanding of melania how she grew up and her life both in the white house and outside of it i would recommend this book to anyone,0.9733149999999999
BettyJo,"Reviewed in the United States on February 13, 2025",5.0 out of 5 stars,"Our classy First Lady, who has such a kind heart and soul. So glad i read this. She is so inspiring.",our classy first lady who has such a kind heart and soul so glad i read this she is so inspiring,0.98947
Kay Payne,"Reviewed in the United States on February 13, 2025",5.0 out of 5 stars,"This is a true story and Melania was on a talk show and she stated that every word was true. She is a wonderful person and I LOVED,LOVED the book. I doubt that I would be able to endure what she has been through! She stands by him and she loves her husband!!",this is a true story and melania was on a talk show and she stated that every word was true she is a wonderful person and i loved loved the book i doubt that i would be able to endure what she has been through she stands by him and she loves her husband,0.9940149999999999
Linda KH,"Reviewed in the United States on February 13, 2025",5.0 out of 5 stars,Our First Lady is awesome!,our first lady is awesome,0.943735
Christine Clark,"Reviewed in the United States on February 13, 2025",5.0 out of 5 stars,This book truly reflects the Melania that the world loves. She is a very special and strong woman and mother.,this book truly reflects the melania that the world loves she is a very special and strong woman and mother,0.98815
C.D.,"Reviewed in the United States on February 12, 2025",5.0 out of 5 stars,Good read. Melania tells all in this book. Great photos of her & President Trump. Learn a lot about the 1st Lady that you never knew. Would recommend buying.,good read melania tells all in this book great photos of her president trump learn a lot about the 1st lady that you never knew would recommend buying,0.956305
danny parish,"Reviewed in the United States on February 12, 2025",5.0 out of 5 stars,Great book and beautiful pic,great book and beautiful pic,0.97603
Carolyn,"Reviewed in the United States on February 11, 2025",5.0 out of 5 stars,I bought the Melania book for my mother for her birthday. She just loves the book! I'm so happy I made this purchase.,i bought the melania book for my mother for her birthday she just loves the book i m so happy i made this purchase,0.9785499999999999
Kindle Customer G.M. Scanlon,"Reviewed in the United States on February 11, 2025",5.0 out of 5 stars,It's a good read that allows you to see the First Lady for who she is and what she sees and believes. It's good for us to realize she is so much more than just the most beautiful First Lady in American history. She's a deep thinker worthy of our respect and admiration.,it s a good read that allows you to see the first lady for who she is and what she sees and believes it s good for us to realize she is so much more than just the most beautiful first lady in american history she s a deep thinker worthy of our respect and admiration,0.99418
Kerri,"Reviewed in the United States on February 11, 2025",5.0 out of 5 stars,"Wonderful book, got to see inside her life. Pictures I had not t seen before.",wonderful book got to see inside her life pictures i had not t seen before,0.9357849999999999
Debbie Bass,"Reviewed in the United States on February 10, 2025",5.0 out of 5 stars,This book gives a whole new incite to Melania and Donald Trumps life. It makes me appreciate them all the more. I know there are two sides to every story and I believe this one. Great book Melania!!,this book gives a whole new incite to melania and donald trumps life it makes me appreciate them all the more i know there are two sides to every story and i believe this one great book melania,0.966745
Elisha Baxter,"Reviewed in the United States on February 10, 2025",5.0 out of 5 stars,"I think this book really provides insight into the life of a First Lady, who she is and how she got to where she is. It also gives insight into President Trump. I've really enjoyed reading this book.",i think this book really provides insight into the life of a first lady who she is and how she got to where she is it also gives insight into president trump i ve really enjoyed reading this book,0.933445
